plan_type,part_type,service_name,no_of_days,amount_paid_by_medicare,amount_paid_by_plan,amount_paid_by_customer
A,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",$0}"
A,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
A,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
A,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",$0}","{""$240 (Part B Deductible)"",$0,""All Costs""}"
A,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
A,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{$0,""$408 a Day"",""$816 a Day"",""100% of Additional Expenses"",$0}","{""$1632 (Part A Deductible)"",$0,$0,$0,""All Costs""}"
A,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""All but very limited copayment / coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment / coinsurance""}",{$0}
A,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,$0,$0}","{$0,""Up to $204 a Day"",""All Costs""}"
A,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
B,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
B,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
B,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,""Up to $204 a Day"",""All Costs""}"
B,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
B,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
B,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
B,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",$0}"
B,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",$0}","{""$240 (Part B Deductible)"",$0,""All Costs""}"
B,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Additional Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
C,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
C,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
C,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{""$240 (Part B deductible)"",20%}","{$0,$0}"
C,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
C,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
C,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
C,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
C,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Additional Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
C,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{""$240 (Part B Deductible)"",""Generally 20%"",$0}","{$0,$0,""All Costs""}"
C,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,""$240 (Part B Deductible)"",""Generally 20%""}","{$0,$0,$0}"
D,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",$0}","{""$240 (Part B Deductible)"",$0,""All Costs""}"
D,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
D,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
D,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
D,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
D,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
D,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
D,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""All but very limited copayment / coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment / coinsurance""}",{$0}
D,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
D,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",$0}"
F,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{""$240 (Part B deductible)"",20%}","{$0,$0}"
F,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
F,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,""$240 (Part B Deductible)"",""Generally 20%""}","{$0,$0,$0}"
F,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{""$240 (Part B Deductible)"",""Generally 20%"",100%}","{$0,$0,$0}"
F,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
F,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
F,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
F,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
F,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
F,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""All but very limited copayment / coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment / coinsurance""}",{$0}
G,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""All but very limited copayment / coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment / coinsurance""}",{$0}
G,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
G,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
G,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
G,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
G,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",100%}","{""$240 (Part B Deductible)"",$0,$0}"
G,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
G,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
G,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",$0}"
G,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
HDF,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,""$240 (Part B Deductible)"",""Generally 20%""}","{$0,$0,$0}"
HDF,deductible,,,,,
HDF,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
HDF,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
HDF,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
HDF,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
HDF,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{""$240 (Part B deductible)"",20%}","{$0,$0}"
HDF,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
HDF,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
HDF,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{""$240 (Part B Deductible)"",""Generally 20%"",100%}","{$0,$0,$0}"
HDF,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
HDG,Other Benefits,Foreign Travel,"{""1st $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% up to a lifetime maximum benefit of $50,000""}","{$250,""20% and amounts over the $50,000 lifetime maximum benefit""}"
HDG,deductible,,,,,
HDG,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
HDG,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Unless Part B deductible has been met)"",$0}"
HDG,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
HDG,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
HDG,Part B,Blood,"{""First Three Pints"",""Next $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$0,$0,80%}","{""All costs"",$0,20%}","{$0,""$240 (Unless Part B deductible has been met)"",$0}"
HDG,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",100%}","{""$240(Unless Part B deductible has been met)"",$0,$0}"
HDG,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
HDG,Part A,Hospice Care,"{""Must Meet Medicare's Requirements, including a doctor's certification of terminal illness""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
HDG,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
K,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
K,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $100 a Day (50%)"",$0}","{$0,""Up to $100 a Day (50%)"",""All Costs""}"
K,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{50%,$0,""Generally 10%""}","{50%,""$240 (Part B Deductible)"",""Generally 10%""}"
K,Part A,-Plan Notes-,"{""Annual out-of-pocket limit""}",{$0},{$0},"{""Up to $7060""}"
K,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$816 (50% of Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$816 (50% of Deductible)"",$0,$0,$0,""All Costs""}"
K,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
K,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,10%}","{""$240 (Part B deductible)"",10%}"
K,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""50% of Copayments and Coinsurance""}","{""50% of Copayments and Coinsurance""}"
K,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{50%,$0}","{50%,$0}"
K,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Preventative Benefits"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 75%"",""Generally 80%"",$0}","{$0,""Remainder of Approved Costs"",""Generally 10%"",$0}","{""$240 (Part B Deductible)"",""All Costs Above Approved Costs"",""Generally 10%"",""All Costs (NA to Max Out of Pocket""}"
L,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{75%,$0}","{25%,$0}"
L,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""75% of Copayments and Coinsurance""}","{""25% of Copayments and Coinsurance""}"
L,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Preventative Benefits"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 75%"",""Generally 80%"",$0}","{$0,""Remainder of Approved Costs"",""Generally 15%"",$0}","{""$240 (Part B Deductible)"",""All Costs Above Approved Costs"",""Generally 5%"",""All Costs (NA to Max Out of Pocket""}"
L,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
L,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{75%,$0,""Generally 15%""}","{25%,""$240 (Part B Deductible)"",""Generally 5%""}"
L,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
L,Part A,-Plan Notes-,"{""Annual out-of-pocket limit""}",{$0},{$0},"{""Up to $3530""}"
L,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1224 (75% of Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$408 (25% of Deductible)"",$0,$0,$0,""All Costs""}"
L,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,15%}","{""$240 (Part B deductible)"",5%}"
L,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $153 a Day (75%)"",$0}","{$0,""Up to $51 a Day (25%)"",""All Costs""}"
M,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
M,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
M,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
M,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
M,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",0%}"
M,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
M,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{10%,$0}","{$0,$0}"
M,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
M,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$816 (50% of Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$816 (50% of Deductible)"",$0,$0,$0,""All Costs""}"
M,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",$0}","{""$240 (Part B Deductible)"",$0,""All Costs""}"
MA_CORE,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary skilled care services and medical supplies""}",{100%},{$0},{$204}
MA_CORE,Part B,Special Medical Formulas Mandated by Law (Covered by Medicare),"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B Deductible)"",$0}"
MA_CORE,Part B,Clinical Laboratory Services,"{""Blood Tests for diagnostic services""}",{100%},{$0},{$0}
MA_CORE,Part B,Medical expenses in or out of the Hospital and outpatient Hospital treatment,"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,""Generally 80%""}","{$0,""Generally 20%""}","{""$240 (Part B Deductible)"",$0}"
MA_CORE,Part A,Licensed Mental Hospital,"{""First 60 days of a Benefit Period"",""61st through 90th day of a Benefit Period"",""91st day and after of a Benefit Period (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All but $1632"",$0,$0,$0,$0}","{$0,""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",$0}","{""$1632 (Part A Deductible)"",$0,$0,$0,""All Costs""}"
MA_CORE,Part A,Hospitalization,"{""First 60 days of a Benefit Period"",""61st through 90th day of a Benefit Period"",""91st day and after a Benefit Period (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All but $1632"",""All but $408 a day"",""All but $816 a day"",$0,$0}","{$0,""$408 a day"",""$816 a day"",100%,$0}","{""$1632 (Part A Deductible)"",$0,$0,$0,""All Costs""}"
MA_CORE,Part B,Blood,"{""First three pints"",""Next $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,$0,80%}","{100%,$0,20%}","{$0,""$240 (Part B Deductible)"",$0}"
MA_CORE,Part B,Outpatient treatment for other mental health disorders,"{""First 24 visits per calendar year"",""Visits 25 and after""}","{$0,$0}","{100%,$0}","{$0,""All Costs""}"
MA_CORE,Part B,Outpatient treatment for biologically-based mental disorders,"{""First $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts""}","{$0,50%}","{$0,50%}","{""$240 (Part B Deductible)"",$0}"
MA_CORE,Part A,Skilled Nursing Facility Care,"{""First 20 days"",""21st through 100th day"",""101st day and after""}","{""All Approved Amounts"",""All but $204 a day"",$0}","{$0,$0,$0}","{$0,$204,""All Costs""}"
MA_CORE,Part A,Hospice Care,"{""Hospice Care available as long as your doctor certifies you are terminally ill and you elect to receive these services""}","{""All but very limited coinsurance for outpatient drugs and inpatient respite care""}",{Coinsurance},{$0}
MA_CORE,Part A,Licensed Mental Hospital Stays,"{""First 60 days per calendar year unless days covered by Medicare or already covered by the Plan in that calendar year for other mental disorders"",""61st through 120th day of a Benefit Period"",""Days after 60 days per calendar year less days covered by Medicare or plan in that calendar year""}","{$0,$0,$0}","{""All but $1632"",""100% of Medicare eligible expenses"",$0}","{""$1632 (Part A Deductible)"",$0,""All Costs""}"
MA_CORE,Part B,Special Medical Formulas Mandated by Law (Not covered by Medicare),"{""""}",{$0},"{""All allowed charges""}","{""Remaining costs""}"
MA_CORE,Other,Plan Details,"{""Outpatient Prescription Drugs Not Covered by Medicare"",""Fitness Program Not Covered by Medicare""}","{$0,$0}","{$0,$150}","{""All Costs"",""All charges after $150""}"
MA_CORE,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B Deductible)"",$0}"
MA_SUPP1,Part B,Special Medical Formulas Mandated by Law (Covered by Medicare),"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,80%}","{""$240 (Part B Deductible)"",20%}","{$0,$0}"
MA_SUPP1,Other,Plan Details,"{""Only the services listed in this plan while traveling outside the United States"",""Outpatient Prescription Drugs Not Covered by Medicare"",""Fitness Program Not Covered by Medicare""}","{$0,$0,$0}","{""Remainder of charges (including portion normally paid by Medicare)"",$0,$150}","{$0,""All Costs"",""All charges after $150""}"
MA_SUPP1,Part B,Clinical Laboratory Services,"{""Blood Tests for diagnostic services""}",{100%},{$0},{$0}
MA_SUPP1,Part B,Medical expenses in or out of the Hospital and outpatient Hospital treatment,"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,""Generally 80%""}","{""$240 (Part B Deductible)"",""Generally 20%""}","{$0,$0}"
MA_SUPP1,Part A,Licensed Mental Hospital,"{""First 60 days of a Benefit Period"",""61st through 90th day of a Benefit Period"",""91st day and after of a Benefit Period (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All but $1632"",$0,$0,$0,$0}","{""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
MA_SUPP1,Part A,Skilled Nursing Facility Care,"{""First 20 days"",""21st through 100th day"",""101st day through 365th day of a Benefit Period"",""Beyond the 365th day of a Benefit Period""}","{""All Approved Amounts"",""All but $204 a day"",$0,$0}","{$0,""$204 a day"",$10,$0}","{$0,$0,Balance,""All Costs""}"
