plan_type,part_type,service_name,no_of_days,amount_paid_by_medicare,amount_paid_by_plan,amount_paid_by_customer
MN_XBAS2,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,$0,20%}","{$0,""$240 (Part B Deductible)"",$0}"
MN_XBAS2,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{$120,$0}","{$0,""All Costs""}"
MN_XBAS2,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{$0,20%,100%}","{""$240 (Part B Deductible)"",$0,$0}"
MN_XBAS2,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{$0,$0,$0,$0}"
MN_XBAS2,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",""80% of covered expenses up to 120 days per calendar year""}","{$0,$0,""Remaining Costs""}"
MN_XBAS2,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_XBAS2,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Medicare copayment/coinsurance""}",{$0}
MN_XBAS2,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B Deductible)"",$0}"
N,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
N,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Balance, Other than Copays"",$0}","{""$240 (Part B Deductible)"",""Up to $20/$50 Copays, Emergency visit copay waived if admitted"",""All Costs""}"
N,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",0%}"
N,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""All but very limited copayment / coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment / coinsurance""}",{$0}
N,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
N,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
N,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
N,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
N,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
N,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
WI_50,Part B,Preventative Medical Care Benefit,"{""Coverage for preventive health $0 care services not covered by Medicare and as determined to be medically appropriate by an attending physician""}",{$0},{80%},{20%}
WI_50,Riders,Optional Riders,"{""Part A Deductible"",""365 Home Health Care Visits"",""Part B Deductible"",""Part B Copayment/Coinsurance"",""Part B Excess Charges"",""Foreign Travel Emergency Rider""}","{$0,""100% of charges for visits considered medically necessary by Medicare"",$0,""Generally 80%, after that Part B Deductible has been met."",$0,$0}","{""100% of Part A Deductible"",""An aggregate of 365 visits per year including those covered by Medicare"",""100% of Part B Deductible"",""Coverage of the Medicare Part B medical coinsurance, subject to a copayment or coinsurance of no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waived and the emergency visit is covered as a Medicare Part A expense."",""Difference between what Medicare pays and the amount charged by the provider, up to the limiting charge allowed by Medicare."",""After a separate Foreign Travel Emergency Rider deductible of $250, covers 80% of expenses associated with emergency medical care received outside the U.S.A. during the first 60 days of a trip with a lifetime maximum of $50,000 in covered expenses""}","{$0,""Charges for visits beyond 365 per year"",$0,""$240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waved and the emergency visit is covered as a Medicare Part A expense."",$0,""$250, Then 20% of charges for the first 60 Days up to the $50,000 Lifetime maximum; 100% beyond 60 Days or over $50,000 maximum""}"
WI_50,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
WI_50,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
WI_50,Additional,Kidney Disease Care,"{""Inpatient and outpatient expenses for dialysis, transplantation or donor-related services""}",{80%},"{""Up to $30,000 per year""}","{""Charges in excess of $30,000""}"
WI_50,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{""$0 or Optional Part B Deductible Rider or Optional Part B Copayment or Coinsurance Rider"",""Generally 80%""}","{""$240 (Part B deductible) or $0 or $240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit"",""Generally 20% or Optional Part B Excess Charges Rider""}","{""$240 (Part B Deductible)"",""Charges in excess of Medicare approved charges or charges not paid by Medicare or $0""}"
WI_50,Part A,Inpatient Psychiatric Care,"{""Inpatient psychiatric care in participating psychiatric hospital""}","{""190 days per lifetime""}","{""175 additional days per lifetime""}","{""Beyond 365 Days""}"
WI_50,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,""$0 or Optional Part B Deductible Rider or Optional Part B Copayment or Coinsurance Rider"",""20% or Optional Part B Excess Charges Rider""}","{$0,""$240 (Part B deductible) or $0"",$0}"
WI_50,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$0  or Optional Part A Deductible Rider"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0,""All Costs""}"
WI_50,Part B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}","{""100% of charges for visits considered medically necessary by Medicare""}","{""40 visits in addition to those paid by Medicare or Optional Additional Home Health Rider""}","{""Beyond 40 visits per calendar year or Beyond 365 visits""}"
WI_50,Additional,Licensed Skilled Nursing Facility Care,"{""The facility does not have to be certified by Medicare, no prior hospitalization is required and the stay does not have to meet Medicare's definition""}","{""$0 for services beyond those covered under Part A""}","{""Up to 30 days per admission for medically necessary care""}","{""Charges for care beyond 30 days per admission of skilled care.""}"
WI_50,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
WI_50,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""	All but very limited $0 or 100% of copayment/ $0 copayment/coinsurance for outpatient drugs and inpatient respite care""}","{""$0 or 100% of copayment/coinsurance""}",{$0}
WI_50,Additional,Chiropractic Services,"{""""}","{""80% for manual manipulations of the spine to correct a subluxation that can be demonstrated by X-ray""}","{""The full usual, customary and reasonable charge, less what Medicare pays for Medicare- eligible expenses""}","{""Charges in excess of the full, usual, customary and reasonable charge""}"
WI_50,Additional,Diabetic Equipment & Supplies,"{""Self-education programs and infusion pump (provided you use it for 30 days before buying it)""}","{""Medicare generally does not cover diabetic supplies""}","{""The full usual, customary and reasonable charge, less what Medicare paid""}","{""Charges in excess of the full usual, customary and reasonable charge""}"
WI_75,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,""$0 or Optional Part B Deductible Rider or Optional Part B Copayment or Coinsurance Rider"",""20% or Optional Part B Excess Charges Rider""}","{$0,""$240 (Part B deductible) or $0"",$0}"
WI_75,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""	All but very limited $0 or 100% of copayment/ $0 copayment/coinsurance for outpatient drugs and inpatient respite care""}","{""$0 or 100% of copayment/coinsurance""}",{$0}
WI_75,Additional,Diabetic Equipment & Supplies,"{""Self-education programs and infusion pump (provided you use it for 30 days before buying it)""}","{""Medicare generally does not cover diabetic supplies""}","{""The full usual, customary and reasonable charge, less what Medicare paid""}","{""Charges in excess of the full usual, customary and reasonable charge""}"
WI_75,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{""$0 or Optional Part B Deductible Rider or Optional Part B Copayment or Coinsurance Rider"",""Generally 80%""}","{""$240 (Part B deductible) or $0 or $240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit"",""Generally 20% or Optional Part B Excess Charges Rider""}","{""$240 (Part B Deductible)"",""Charges in excess of Medicare approved charges or charges not paid by Medicare or $0""}"
WI_75,Riders,Optional Riders,"{""Part A Deductible"",""365 Home Health Care Visits"",""Part B Deductible"",""Part B Copayment/Coinsurance"",""Part B Excess Charges"",""Foreign Travel Emergency Rider""}","{$0,""100% of charges for visits considered medically necessary by Medicare"",$0,""Generally 80%, after that Part B Deductible has been met."",$0,$0}","{""100% of Part A Deductible"",""An aggregate of 365 visits per year including those covered by Medicare"",""100% of Part B Deductible"",""Coverage of the Medicare Part B medical coinsurance, subject to a copayment or coinsurance of no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waived and the emergency visit is covered as a Medicare Part A expense."",""Difference between what Medicare pays and the amount charged by the provider, up to the limiting charge allowed by Medicare."",""After a separate Foreign Travel Emergency Rider deductible of $250, covers 80% of expenses associated with emergency medical care received outside the U.S.A. during the first 60 days of a trip with a lifetime maximum of $50,000 in covered expenses""}","{$0,""Charges for visits beyond 365 per year"",$0,""$240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waved and the emergency visit is covered as a Medicare Part A expense."",$0,""$250, Then 20% of charges for the first 60 Days up to the $50,000 Lifetime maximum; 100% beyond 60 Days or over $50,000 maximum""}"
WI_75,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
WI_75,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
WI_75,Part B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}","{""100% of charges for visits considered medically necessary by Medicare""}","{""40 visits in addition to those paid by Medicare or Optional Additional Home Health Rider""}","{""Beyond 40 visits per calendar year or Beyond 365 visits""}"
WI_75,Additional,Chiropractic Services,"{""""}","{""80% for manual manipulations of the spine to correct a subluxation that can be demonstrated by X-ray""}","{""The full usual, customary and reasonable charge, less what Medicare pays for Medicare- eligible expenses""}","{""Charges in excess of the full, usual, customary and reasonable charge""}"
WI_75,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
WI_75,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$0  or Optional Part A Deductible Rider"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0,""All Costs""}"
WI_75,Part B,Preventative Medical Care Benefit,"{""Coverage for preventive health $0 care services not covered by Medicare and as determined to be medically appropriate by an attending physician""}",{$0},{80%},{20%}
WI_75,Additional,Licensed Skilled Nursing Facility Care,"{""The facility does not have to be certified by Medicare, no prior hospitalization is required and the stay does not have to meet Medicare's definition""}","{""$0 for services beyond those covered under Part A""}","{""Up to 30 days per admission for medically necessary care""}","{""Charges for care beyond 30 days per admission of skilled care.""}"
WI_75,Part A,Inpatient Psychiatric Care,"{""Inpatient psychiatric care in participating psychiatric hospital""}","{""190 days per lifetime""}","{""175 additional days per lifetime""}","{""Beyond 365 Days""}"
WI_75,Additional,Kidney Disease Care,"{""Inpatient and outpatient expenses for dialysis, transplantation or donor-related services""}",{80%},"{""Up to $30,000 per year""}","{""Charges in excess of $30,000""}"
WI_BASE,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
WI_BASE,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,""$240 (Part B Deductible)"",""(1) 20%, (2) or Optional Part B Excess Charges Rider, (3) or Optional Part B Copayment or Coinsurance Rider""}","{$0,$0,""(1) Charges in excess of Medicare-approved charges. (2) Charges not paid by Medicare or the policy. (3) Up to $20 per office visit and up to $50 per emergency room visit.""}"
WI_BASE,Additional,Kidney Disease Care,"{""Inpatient and outpatient expenses for dialysis, transplantation or donor-related services""}",{80%},"{""Up to $30,000 per year""}","{""Charges in excess of $30,000""}"
WI_BASE,Part B,Preventative Medical Care Benefit,"{""PREVENTATIVE MEDICAL CARE BENEFIT - NOT COVERED BY MEDICARE"",""Some annual physical and preventive tests and services administered or ordered by your doctor when not covered by Medicare."",""First $120 each calendar year"",""Additional Charges""}","{"""","""",$0,$0}","{"""","""",$120,""(1) $0, (2) or Optional Part B Excess Charges Rider, (3) or Optional Part B Copayment or Coinsurance Rider""}","{"""","""",$0,""(1) Charges in excess of Medicare-approved charges. (2) Charges not paid by Medicare or the policy. (3) Up to $20 per office visit and up to $50 per emergency room visit.""}"
WI_BASE,Riders,Optional Riders,"{""Part A Deductible"",""365 Home Health Care Visits"",""Part B Deductible"",""Part B Copayment/Coinsurance"",""Part B Excess Charges"",""Foreign Travel Emergency Rider""}","{$0,""100% of charges for visits considered medically necessary by Medicare"",$0,""Generally 80%, after that Part B Deductible has been met."",$0,$0}","{""100% of Part A Deductible"",""An aggregate of 365 visits per year including those covered by Medicare"",""100% of Part B Deductible"",""Coverage of the Medicare Part B medical coinsurance, subject to a copayment or coinsurance of no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waived and the emergency visit is covered as a Medicare Part A expense."",""Difference between what Medicare pays and the amount charged by the provider, up to the limiting charge allowed by Medicare."",""After a separate Foreign Travel Emergency Rider deductible of $250, covers 80% of expenses associated with emergency medical care received outside the U.S.A. during the first 60 days of a trip with a lifetime maximum of $50,000 in covered expenses""}","{$0,""Charges for visits beyond 365 per year"",$0,""$240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waved and the emergency visit is covered as a Medicare Part A expense."",$0,""$250, Then 20% of charges for the first 60 Days up to the $50,000 Lifetime maximum; 100% beyond 60 Days or over $50,000 maximum""}"
WI_BASE,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,""Generally 80%""}","{""$0 or Optional Part B Deductible Rider"",""(1) Generally 20%, (2) or Optional Part B Excess Charges Rider, (3) or Optional Part B Copayment or Coinsurance Rider""}","{""$240 (Part B Deductible) or $0"",""(1) Charges in excess of Medicare-approved charges. (2) Charges not paid by Medicare or the policy. (3) Up to $20 per office visit and up to $50 per emergency room visit.""}"
WI_BASE,Additional,Licensed Skilled Nursing Facility Care,"{""The facility does not have to be certified by Medicare, no prior hospitalization is required and the stay does not have to meet Medicare's definition""}","{""$0 for services beyond those covered under Part A""}","{""Up to 30 days per admission for medically necessary care""}","{""Charges for care beyond 30 days per admission of skilled care.""}"
WI_BASE,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
WI_BASE,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""	All but very limited $0 or 100% of copayment/ $0 copayment/coinsurance for outpatient drugs and inpatient respite care""}","{""$0 or 100% of copayment/coinsurance""}",{$0}
WI_BASE,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$0  or Optional Part A Deductible Rider"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0,""All Costs""}"
WI_BASE,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
WI_BASE,Additional,Diabetic Equipment & Supplies,"{""Self-education programs and infusion pump (provided you use it for 30 days before buying it)""}","{""Medicare generally does not cover diabetic supplies""}","{""The full usual, customary and reasonable charge, less what Medicare paid""}","{""Charges in excess of the full usual, customary and reasonable charge""}"
WI_BASE,Additional,Chiropractic Services,"{""""}","{""80% for manual manipulations of the spine to correct a subluxation that can be demonstrated by X-ray""}","{""The full usual, customary and reasonable charge, less what Medicare pays for Medicare- eligible expenses""}","{""Charges in excess of the full, usual, customary and reasonable charge""}"
WI_BASE,Part B,Foreign Travel,"{""FOREIGN TRAVEL - NOT COVERED BY MEDICARE"",""Medically necessary emergency care services beginning during the first 60 days of each trip outside of the USA."",""First $250 each calendar year"",""Remainder of charges""}","{"""","""",$0,$0}","{"""","""",$0,""(1) $0 or,  (2) Optional Foreign Travel Emergency Rider** (80% to a lifetime maximum benefit of $50,000)""}","{"""","""",$250,""(1) All costs or, (2) 20% and amounts over the $50,000 lifetime maximum""}"
WI_BASE,Part B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}","{""100% of charges for visits considered medically necessary by Medicare""}","{""40 visits in addition to those paid by Medicare or Optional Additional Home Health Rider""}","{""Beyond 40 visits per calendar year or Beyond 365 visits""}"
WI_BASE,Part A,Inpatient Psychiatric Care,"{""Inpatient psychiatric care in participating psychiatric hospital""}","{""190 days per lifetime""}","{""175 additional days per lifetime""}","{""Beyond 365 Days""}"
WI_HDED,Part A,Inpatient Psychiatric Care,"{""Inpatient psychiatric care in participating psychiatric hospital""}","{""190 days per lifetime""}","{""175 additional days per lifetime""}","{""Beyond 365 Days""}"
WI_HDED,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{""$0 or Optional Part B Deductible Rider or Optional Part B Copayment or Coinsurance Rider"",""Generally 80%""}","{""240 (Part B deductible) or $0 or $240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit"",""Generally 20% or Optional Part B Excess Charges Rider""}","{""$240 (Part B Deductible)"",""Charges in excess of Medicare approved charges or charges not paid by Medicare or $0""}"
WI_HDED,Additional,Licensed Skilled Nursing Facility Care,"{""The facility does not have to be certified by Medicare, no prior hospitalization is required and the stay does not have to meet Medicare's definition""}","{""$0 for services beyond those covered under Part A""}","{""Up to 30 days per admission for medically necessary care""}","{""Charges for care beyond 30 days per admission of skilled care.""}"
WI_HDED,Part B,Preventative Medical Care Benefit,"{""Coverage for preventive health $0 care services not covered by Medicare and as determined to be medically appropriate by an attending physician""}",{$0},{80%},{20%}
WI_HDED,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,""$0 or Optional Part B Deductible Rider or Optional Part B Copayment or Coinsurance Rider"",""20% or Optional Part B Excess Charges Rider""}","{$0,""$240 (Part B deductible) or $0"",$0}"
WI_HDED,Riders,Optional Riders,"{""Part A Deductible"",""365 Home Health Care Visits"",""Part B Deductible"",""Part B Copayment/Coinsurance"",""Part B Excess Charges"",""Foreign Travel Emergency Rider""}","{$0,""100% of charges for visits considered medically necessary by Medicare"",$0,""Generally 80%, after that Part B Deductible has been met."",$0,$0}","{""100% of Part A Deductible"",""An aggregate of 365 visits per year including those covered by Medicare"",""100% of Part B Deductible"",""Coverage of the Medicare Part B medical coinsurance, subject to a copayment or coinsurance of no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waived and the emergency visit is covered as a Medicare Part A expense."",""Difference between what Medicare pays and the amount charged by the provider, up to the limiting charge allowed by Medicare."",""After a separate Foreign Travel Emergency Rider deductible of $250, covers 80% of expenses associated with emergency medical care received outside the U.S.A. during the first 60 days of a trip with a lifetime maximum of $50,000 in covered expenses""}","{$0,""Charges for visits beyond 365 per year"",$0,""$240 (Part B Deductible) and no more than $20 per office visit and no more than $50 per emergency room visit.  If admitted, the $50 is waved and the emergency visit is covered as a Medicare Part A expense."",$0,""$250, Then 20% of charges for the first 60 Days up to the $50,000 Lifetime maximum; 100% beyond 60 Days or over $50,000 maximum""}"
WI_HDED,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
WI_HDED,deductible,,,,,
WI_HDED,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
WI_HDED,Additional,Kidney Disease Care,"{""Inpatient and outpatient expenses for dialysis, transplantation or donor-related services""}",{80%},"{""Up to $30,000 per year""}","{""Charges in excess of $30,000""}"
WI_HDED,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""	All but very limited $0 or 100% of copayment/ $0 copayment/coinsurance for outpatient drugs and inpatient respite care""}","{""$0 or 100% of copayment/coinsurance""}",{$0}
WI_HDED,Part B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}","{""100% of charges for visits considered medically necessary by Medicare""}","{""40 visits in addition to those paid by Medicare or Optional Additional Home Health Rider""}","{""Beyond 40 visits per calendar year or Beyond 365 visits""}"
WI_HDED,Additional,Diabetic Equipment & Supplies,"{""Self-education programs and infusion pump (provided you use it for 30 days before buying it)""}","{""Medicare generally does not cover diabetic supplies""}","{""The full usual, customary and reasonable charge, less what Medicare paid""}","{""Charges in excess of the full usual, customary and reasonable charge""}"
WI_HDED,Additional,Chiropractic Services,"{""""}","{""80% for manual manipulations of the spine to correct a subluxation that can be demonstrated by X-ray""}","{""The full usual, customary and reasonable charge, less what Medicare pays for Medicare- eligible expenses""}","{""Charges in excess of the full, usual, customary and reasonable charge""}"
WI_HDED,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
WI_HDED,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$0  or Optional Part A Deductible Rider"",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0,""All Costs""}"